iter	Passed	Remaining
447	1157	1426
448	1160	1424
449	1163	1422
450	1165	1419
451	1169	1417
452	1171	1415
453	1174	1412
454	1176	1409
455	1179	1406
456	1181	1403
457	1185	1402
458	1187	1399
459	1189	1396
460	1192	1394
461	1194	1391
462	1197	1388
463	1199	1385
464	1201	1382
465	1203	1378
466	1205	1375
467	1209	1374
468	1212	1372
469	1215	1370
470	1217	1367
471	1220	1365
472	1222	1362
473	1225	1359
474	1227	1356
475	1229	1353
476	1231	1350
477	1233	1347
478	1235	1344
479	1237	1341
480	1240	1338
481	1242	1335
482	1244	1331
483	1246	1328
484	1249	1326
485	1251	1323
486	1253	1320
487	1255	1317
488	1257	1314
489	1259	1310
490	1261	1307
491	1263	1304
492	1267	1303
493	1269	1300
494	1271	1296
495	1273	1294
496	1276	1291
497	1278	1288
498	1281	1286
499	1282	1282
500	1284	1279
501	1287	1276
502	1289	1273
503	1291	1270
504	1293	1267
505	1295	1264
506	1296	1261
507	1299	1258
508	1301	1255
509	1303	1252
510	1305	1249
511	1307	1246
512	1310	1243
513	1312	1240
514	1314	1237
515	1316	1234
516	1318	1231
517	1319	1227
518	1321	1225
519	1324	1222
520	1326	1219
521	1328	1216
522	1330	1213
523	1332	1210
524	1335	1208
525	1337	1205
526	1339	1202
527	1341	1199
528	1344	1196
529	1346	1193
530	1348	1190
531	1350	1188
532	1352	1184
533	1355	1182
534	1357	1179
535	1361	1178
536	1363	1175
537	1365	1172
538	1367	1169
539	1370	1167
540	1373	1164
541	1375	1162
542	1377	1159
543	1380	1156
544	1382	1153
545	1384	1150
546	1386	1147
547	1388	1144
548	1390	1142
549	1392	1139
550	1393	1135
551	1396	1133
552	1399	1131
553	1402	1128
554	1404	1125
555	1405	1122
556	1407	1119
557	1409	1116
558	1412	1114
559	1415	1111
560	1417	1109
561	1419	1106
562	1421	1103
563	1423	1100
564	1424	1097
565	1427	1094
566	1430	1092
567	1432	1089
568	1435	1087
569	1437	1084
570	1439	1081
571	1441	1078
572	1443	1076
573	1445	1073
574	1448	1070
575	1450	1067
576	1453	1065
577	1455	1062
578	1457	1059
579	1459	1057
580	1461	1054
581	1465	1052
582	1467	1049
583	1469	1046
584	1471	1044
585	1473	1041
586	1475	1038
587	1477	1035
588	1480	1033
589	1482	1030
590	1484	1027
591	1486	1024
592	1488	1021
593	1492	1020
594	1494	1017
595	1496	1014
596	1499	1011
597	1501	1009
598	1503	1006
599	1506	1004
600	1508	1001
601	1510	998
602	1512	995
603	1514	993
604	1517	990
605	1519	988
606	1521	985
607	1523	982
608	1525	979
609	1527	976
610	1529	973
611	1531	971
612	1534	968
613	1538	967
614	1540	964
615	1542	961
616	1544	958
617	1547	956
618	1548	953
619	1551	950
620	1553	948
621	1555	945
622	1557	942
623	1559	939
624	1561	936
625	1563	933
626	1565	931
627	1567	928
628	1569	925
629	1572	923
630	1574	920
631	1576	918
632	1578	915
633	1581	913
634	1583	910
635	1588	908
636	1590	906
637	1592	903
638	1594	900
639	1597	898
640	1599	895
641	1601	893
642	1604	890
643	1607	888
644	1609	886
645	1613	884
646	1614	881
647	1617	878
648	1619	875
649	1621	872
650	1623	870
651	1625	867
652	1627	864
653	1630	862
654	1633	860
655	1635	857
656	1637	854
657	1639	852
658	1644	851
659	1646	848
660	1649	845
